documento,nombres,apellidos,grupo
1001152,Gloria,Castaño Correa,9-2
1001153,Ignacio,Gutiérrez Quintero,9-2
1001154,Patricia,Moreno Marulanda,9-2
1001155,Alfonso,Aguilar Gallego,9-2
1001156,Teresa,Saldarriaga Mesa,9-2
1001157,Esteban,Pineda Bustamante,9-2
1001158,Sonia,Beltrán Carmona,9-2
1001159,Javier,Mesa Arango,9-2
1001160,Olga,Urrego Roldán,9-2
1001161,Manuel,Vélez Zuluaga,10-1
1001162,Pilar,Moncada Taborda,10-1
1001163,Ernesto,Naranjo Ospina,10-1
1001164,Rosa,Ceballos Lopera,10-1
1001165,Rubén,Vidal Chavarriaga,10-1
1001166,Consuelo,Caicedo Molina,10-1
1001167,Marcos,Peña Forero,10-1
1001168,Elsa,Díaz Usme,10-1
1001169,Jaime,Romero Calderón,10-1
1001170,Inés,Castañeda Loaiza,10-1
1001171,Víctor,Bravo Cárdenas,10-1
1001172,Nora,Vargas Ledesma,10-1
1001173,Arturo,Villada Hincapié,10-1
1001174,Hilda,Toro Peláez,10-1
1001175,Ramiro,Sepúlveda Atehortúa,10-1
1001176,Dora,Vergara Rincón,10-1
1001177,Armando,Molina Arboleda,10-1
1001178,Ligia,Rojas Cuartas,10-1
1001179,Fabián,Tamayo Ceballos,10-1
1001180,Cecilia,Uribe Ríos,10-1
1001181,Héctor,Vallejo Grajales,10-2
1001182,Esperanza,Rendón Henao,10-2
1001183,Darío,Clavijo Benítez,10-2
1001184,Margarita,Posada Chavarría,10-2
1001185,Gilberto,Lopera Barrientos,10-2
1001186,Lucía,Guisao Patiño,10-2
1001187,Julio,Maya Flórez,10-2
1001188,Alicia,Noreña Arango,10-2
1001189,Gerardo,Quirama Bustamante,10-2
1001190,Graciela,Murillo Palacio,10-2
1001191,Orlando,Barreneche Valencia,10-2
1001192,Myriam,Alzate Ciro,10-2
1001193,Edgar,Echavarría Uribe,10-2
1001194,Luz,Agudelo Múnera,10-2
1001195,Álvaro,Carvajal Loaiza,10-2
1001196,Blanca,Orozco Gómez,10-2
1001197,Iván,Piedrahíta Ruiz,10-2
1001198,Gladys,Giraldo Violeta,10-2
1001199,Nelson,Cardona Callejas,10-2
1001200,Mercedes,Henao Montoya,10-2
